daño,Predicción
sector sin servicio,cancelar
sin servicio,cancelar
energia baja,ejecutar
caidas de canuelas,ejecutar
canuela caida,ejecutar
de repente se fue,ejecutar
poste caido,cancelar
sono una explosion y se fue la luz de todo el sector,ejecutar
sin luz toda la manana,cancelar
zonas de la casa sin energia y energia intermitente,cancelar
sin energia,cancelar
1,"Entrada inválida. Por favor, ingrese un texto coherente."
variacion en el voltaje electrico,ejecutar
se reventaron  las cuerdas de energia que van para mi casa,ejecutar
bajo voltaje,cancelar
canuelas caidas en el transformador,ejecutar
no hay luz desde ayer en la tarde,cancelar
sector sin energia desde ayer a las 3 pm,cancelar
velas caidas por un rayo,cancelar
servicio de energia baja,ejecutar
nos encontramos sin servicio en todo el sector,ejecutar
arbol sobre las cuerdas y cada que llueve se presenta chispas y nos deja sin energia,cancelar
se revento un cable,cancelar
no hay servicio de energia,ejecutar
no tengo energia,cancelar
lus bajita,cancelar
los bombillos se prenden y se apagan y los tomas no sirven,ejecutar
sector sin servicio de energia,cancelar
la energia esta intermitente,ejecutar
la nevera se abre y no enciende el bombillo,cancelar
sin luz,cancelar
sin servicio,cancelar
luz intermitente en dos viviendas,ejecutar
zona sin energia,cancelar
variacion del voltaje en el sector,ejecutar
el  en sector unos vecinos no tiene servicio de energia y nosotros,ejecutar
velas caidas,ejecutar
no hay luz en el sector,ejecutar
sube  y se baja,cancelar
desde anoche se fue totalmente,cancelar
falla de energia,ejecutar
sector sin servicio electrico,ejecutar
se cayo la cayuela,ejecutar
no tenemos luz desde el domingo en la noche,ejecutar
hay ramas de arboles sobre las cuerdas,cancelar
variacion de voltaje,cancelar
dano de fusible,ejecutar
apagones cada rato,cancelar
estamos sin luz,ejecutar
no hay energia electrica,cancelar
se fue la energia,ejecutar
todo el sector esta sin luz,ejecutar
estamos sin energia electrica,ejecutar
sin energia  todo el sector,ejecutar
empty,ejecutar
esta caido,cancelar
sin servicio de energia,cancelar
estamos a media luz,cancelar
linea reventada,ejecutar
energia con bajo voltaje,ejecutar
se fue la energia nuevamente a la madrugada despues de que habia llegado a las 4  de la tarde,ejecutar
no hay servicio,ejecutar
sin servicio hace 20 dias,ejecutar
sin energia,cancelar
sin servicio en todo el sector,ejecutar
no hay servicio de energia,ejecutar
desde ayer la luz lleva y se va en todo el sector,ejecutar
se escucho un estruendo y luego un brillo y se  fue la luz en horas de la madrugada,ejecutar
estoy sin luz,cancelar
no tenemos energia,ejecutar
casa sin servicio,cancelar
sector sin energia,cancelar
sector sin servicio de energia,cancelar
sin energia todo el barrio,ejecutar
las cuerdas estan unidas y echan chispas,ejecutar
no tengo esa informacion solo se que desde ahi en adelante no hay servicio,ejecutar
no hay servicio,ejecutar
sector sin energia,cancelar
no lo se,ejecutar
ramas sobre las lineas,ejecutar
sector si,ejecutar
sin servicio,cancelar
no hay servicio canuelas abajo,ejecutar
cuerda caida con chispas,ejecutar
pate sin luz,ejecutar
empty,ejecutar
no hay electricidad,cancelar
vela reventada,ejecutar
esta sin energia mi casa y la de los vecinos,ejecutar
no tenemos luz para que venga rapido y la pongan gracias,ejecutar
no hay luz por sectores,ejecutar
hay un cable suelto en un poste y varios usuarios no tenemos luz,cancelar
sector sin servicio,cancelar
no tenemos servicio de energia guaduas cayeron sobre las cuerdas,ejecutar
sin energia,cancelar
no hay servicio de energia,ejecutar
se revento una cuerda y echa chispas y estamos sin luz,ejecutar
empty,ejecutar
sin servicio de energia en todo el sector,ejecutar
se fue hace un rato la energia supongo que a causa de los vientos,ejecutar
se fue la luz desde anoche,ejecutar
exploto el transformador,ejecutar
velas caidas,ejecutar
hay que entrar por la aldea,cancelar
paso un camion grande por el sector y dano la linea la revento,ejecutar
sin servicio,cancelar
sin voltaje,cancelar
la luz llega intermitente,ejecutar
poste a punto de caer ,ejecutar
no hay luz,cancelar
bajo voltaje,cancelar
desde esta manana no hay energia,ejecutar
empty,ejecutar
esta bajita la luz,cancelar
y luego llego bajita,ejecutar
sin servicio en todo el sector desde hace 2 horas,ejecutar
sin energia,cancelar
una cuerda reventada,cancelar
caida de canuelas corto en el poste del transformador,ejecutar
sin energia,cancelar
ausencia de fluido electrico,ejecutar
en  el centro se presenta un bajon de energia,ejecutar
parte alta,ejecutar
energia con poco voltaje sin fuerza,ejecutar
muy bajita,cancelar
transformador echando candela y supermercado sin servicio,ejecutar
exploto un transformador y las lineas se unieron,ejecutar
caidas las canuelas,cancelar
sector con variacion de voltaje,ejecutar
sin energia,cancelar
sin energia,cancelar
variacion de voltaje,cancelar
sin servicio de energia,cancelar
desde anoche,ejecutar
otras vez de un momento a otro se fue,cancelar
sin energia,cancelar
no tenemos luz,ejecutar
no hay luz,cancelar
el voltaje baja con la lluvia,ejecutar
el caserio no tiene servicio de energia,ejecutar
canuelas caidas en el transformador,ejecutar
vereda pajonales sin luz electrica por tormenta,ejecutar
no hay servicio de energia,ejecutar
no hay energia en el sector,ejecutar
no hay energia,ejecutar
no hay servicio,ejecutar
no hay luz por transformador  danado,ejecutar
hace mas de un mes sono un fuerte estruendo de ese poste y la calle es un callejon bajando escaleras y queda muy oscuro,ejecutar
sin energia,cancelar
si energia,cancelar
no hay energia,ejecutar
falla de energia,ejecutar
se cayo un arbol y provoco un enrrdamiento entre las cuerdas y se bajaron las velas,ejecutar
sin energia electrica desde ayer en la tarde,ejecutar
no hay luz,cancelar
payande,ejecutar
estoy sin energia,cancelar
en todo el sector no hay energia,ejecutar
empty,ejecutar
un arbol cayo sobre las cuerdas de electricidad,cancelar
si energia,cancelar
por fuerte aguacero ,ejecutar
no hay energia,ejecutar
palo haciendo haciendo corto en las lineas,cancelar
variacion del voltaje,cancelar
variacion de voltaje en todas las fincas aledanas,ejecutar
esta lloviendo y hay una rama de un arbol que esta juntando las 3 cuerdas y causa cortos ,cancelar
no hay luz,cancelar
no tenemos fluido electrico,ejecutar
sin servicio,cancelar
no hay energia,ejecutar
linea reventada,ejecutar
llovio fuerte y se fue la energia en el sector,ejecutar
sector sin servicio,cancelar
sin servicio,cancelar
sin servicio de energia,cancelar
variacion del voltaje,cancelar
linea reventada,ejecutar
sector sin servicio,cancelar
se revento una linea,cancelar
no hay energia,ejecutar
sin servicio  de energia,cancelar
hay caida una fase,cancelar
nos encontramos sin energia toda la vereda ya que estan caidas y rebentadas unas cuerdas que pasan por la escuela de la vereda y por mi casa en el patio,cancelar
empty,ejecutar
por las lluvias se fueron,ejecutar
apagon,ejecutar
dano en la linea,ejecutar
se fue y no volvio,ejecutar
no hay fluido electrico,ejecutar
la luz esta intermitente,cancelar
no hay energia,ejecutar
no aii luz,ejecutar
cable de tensionado,ejecutar
empty,ejecutar
sin servicio,cancelar
vela caida,ejecutar
no hay luz en los predios,ejecutar
se fue la energia en toda la vereda,cancelar
sin energia todo el sector,ejecutar
no hay servicio de energia por,ejecutar
se salto la canuela del transformador,ejecutar
sin energia armas en la red de baja tension,ejecutar
se quemaron los pararrayos,cancelar
sube baja,cancelar
canuelas caidas,ejecutar
se fue todo la energia en todo el sector,cancelar
no hay fluido electrico desde ayer,cancelar
vela caida,ejecutar
sin servicio de energia,cancelar
sin energia,cancelar
bajo nivel de energia por linea reventada,ejecutar
una canuela caida,ejecutar
tenemos fallas en el servicio de energia,ejecutar
sin servicio,cancelar
sin luz toda la manana,cancelar
velas caidas,ejecutar
una fase caida,ejecutar
creo que fue caida de velas,cancelar
todo el sector sin energia,ejecutar
corte de energia,cancelar
sin energia,cancelar
variacion de voltaje,cancelar
vela caida,ejecutar
sin servicio de energia y torre de luz averiada,cancelar
ahi un chulo muerto en el transformador,ejecutar
en unas casas no hay y en otras casas esta bajita,ejecutar
bajantes del transformador quemados,ejecutar
el transformador echa humo aceite,ejecutar
transformador,cancelar
las canuelas de la entrada a la finca estan caidas,cancelar
sin energia,cancelar
estamos,ejecutar
sin servicio,cancelar
bajo voltaje en toda la zona,ejecutar
hubo fuertes vientos en la manana y luego se fue la energia,ejecutar
16 horas sin energia,cancelar
sector sin energia,cancelar
lineas  reventadas,ejecutar
sin servicio,cancelar
no hay luz,cancelar
no hay fluido electrico en el sector,cancelar
desde ayer a las nueve horas esta media finca con luz y media finca sin luz,cancelar
sin energia,cancelar
sin energia,cancelar
las cuerdas se unen con el viento se va y llega la luz,cancelar
sector si,ejecutar
se revento la linea y se quemo el transformador llevamos 4 dias sin luz,cancelar
llevamos mas de una con intermitencia en el servicio,cancelar
canuelas caidas,ejecutar
hola buenos dias paras solicitar una revision ya que me llego la energia de un mes muy cara y cuando me llego el recibo no tenia ni el mes en la casa estoy ubicada en villagorgona callejon los guzman casa 5 mi celular es 3162447954,ejecutar
variacion del voltaje sin explicacion,cancelar
hay una vela caida en el transformador de energia,ejecutar
no hay servicio de energia desde el dia de ayer en la manana,ejecutar
sin energia electrica,cancelar
sin energia,cancelar
no hay servicio de energia,ejecutar
desde por la manana sin servicio,ejecutar
estamos sin servicio de energia,ejecutar
sin energia,cancelar
no tenemos luz desde ayer,ejecutar
se derribo  un arbol  y esta sobre la linea,ejecutar
sin servicio,cancelar
sin energia todo el sector,ejecutar
no hay energia en el sector,ejecutar
no servicio,cancelar
vela caida,ejecutar
variacion de voltaje,cancelar
no tenemos energia,ejecutar
sin servicio,cancelar
sin energia,cancelar
energia bajita,ejecutar
no tenemos energia,ejecutar
sin servicio,cancelar
sin servicio,cancelar
cuerdas reventadas por el viento,cancelar
no tenemos luz desde ayer,ejecutar
empezo a fallar el servicio y se fue,ejecutar
arbol sobre las lineas de baja tension,ejecutar
una cuerda de alta tension caida sobre un techo causando danos en bombillos y muerte de 10 gatos,ejecutar
sin servicio electrico,ejecutar
luz,ejecutar
sin energia intermitente mucha caida de voltaje,cancelar
sin servicio,cancelar
vda el hobo,ejecutar
casa de norvey,cancelar
los bombillos varian de voltaje y se queman facilmente sobre todo en 2 puntos de la casa,ejecutar
nos encontramos sin energia vereda el roble murillo tolima,ejecutar
sin falla de energia en antena,cancelar
poste caido,cancelar
lluvia y se produce apagon,cancelar
2 lineas reventadas sobre una casa,ejecutar
no tenemos servicio de energia,ejecutar
variacion de energia,cancelar
en la tarde estuvieron trabajando en unos postesy uno de ellos quedo echando chispa,ejecutar
todos los dias que hace brisa o llueve asi sea un poco se va la luz,cancelar
todo el sector sin energia,ejecutar
velas caidas,ejecutar
sin servicio,cancelar
velas caidas,ejecutar
la energia se va,cancelar
sin servicio electrico,ejecutar
se revento una cuerda de la luz hace dos dias,ejecutar
sin energia,cancelar
no hay energia,ejecutar
sin energia,cancelar
se fue la luz y se me va a dejar la carne,ejecutar
sin energia,cancelar
altibajos en el servicio de luz en toda la vereda y permanece baja,cancelar
1 fase caidea,ejecutar
corte de electricidad,ejecutar
sin energia,cancelar
sector sin servicio,cancelar
la chica baja,cancelar
sector sin energia,cancelar
velas caidas,ejecutar
sin servicio de energia desde anoche,ejecutar
fusible quemado,cancelar
estamos sin servicio de energia todo el sector,ejecutar
vela caida,ejecutar
no hay energia,ejecutar
variacion de energia,cancelar
no hay luz,cancelar
2 fases caidas,ejecutar
vela quemada,ejecutar
se fue la luz,ejecutar
sin energia,cancelar
no hay fluido electrico,ejecutar
energia muy baja,cancelar
corte de energia en todo el sector por lluvia leve,cancelar
empty,ejecutar
sin servicio,cancelar
linias en corto por arboles,ejecutar
fin aurelio,cancelar
cortes recurrentes,ejecutar
bajon se va el servicio tanto en los bombillos como en el televisor,ejecutar
sin servicio de energia electrica,ejecutar
falla de red,ejecutar
se fue la luz,ejecutar
fase caida,ejecutar
no tenemos luz trifasica,ejecutar
rama sobre cuerdas,ejecutar
una fase sin energia,ejecutar
linea rota,ejecutar
hacia arriba,ejecutar
sector sin servicio hace dos dias,ejecutar
se cayo las velas,ejecutar
no hay energia,ejecutar
explotaron las velas,cancelar
sin energia en todo el sector de la vereda chenchito y tenemos medicamentos que necesitamos refrigerar,ejecutar
sin servicio desde el lunes,cancelar
sector sin luz,ejecutar
sin servicio,cancelar
no hay luz,cancelar
no hay electricidad desde las 12,cancelar
y sector sin energia electrica,ejecutar
sin energia,cancelar
empty,ejecutar
la energia va y viene,ejecutar
esta bajita,cancelar
todo el,ejecutar
sin energia,cancelar
el arranque,ejecutar
una ardilla hizo corto en el transformador,ejecutar
hace aproximadamente 2 meses estuvieron realizando cambio de postes en el sector y la finca en donde tengo cercas con ganados se quedo sin energia,ejecutar
por fuertes vientos la energia se fue canuelas caidas en el arranque,ejecutar
no hay energia,ejecutar
no hay servicio de energia,ejecutar
se revento la cuerda y no hay energia,cancelar
no hay servicio,ejecutar
la vereda sin luz,ejecutar
vela caida,ejecutar
no pasa corriente de poste a poste,cancelar
empty,ejecutar
el poste se encuentra la diada y las cuerdas de energia estan muy bajas,ejecutar
sin energia,cancelar
no hay servicio de energia,ejecutar
se fue la energia hace 20 minutos,ejecutar
se revento una cuerda de energia y estamos sin servicio desde esta manana,cancelar
se va la luz cada rato y toda la tarde y esta noche estamos sin luz,ejecutar
sector sin servicio,cancelar
cuerda reventada,ejecutar
sin servicio,cancelar
lineas reventadas,ejecutar
no hay energia en el centro del pueblo,cancelar
amanecimos sin luz en las fincas,ejecutar
el pando,ejecutar
no tenemos luz en varias cuadras,ejecutar
no hay energia,ejecutar
no hay energia,ejecutar
sin energia,cancelar
desde anoche se fue totalmente,cancelar
sin luz el dia de hoy,ejecutar
de repente anoche se fue el fluido electrico,ejecutar
sin energia,cancelar
sin servicio,cancelar
sin energia por fuerte viento,ejecutar
sin energia en antena wom,cancelar
se va la luz y vuelve pero bajita y se va por largos momentos,ejecutar
sector sin servicio de energia electrica,ejecutar
canuelas caidas del transformador,ejecutar
las canuelas del transformador no las recibe es como si algo pasa en el transformador,ejecutar
sin servicio de energia,cancelar
sin servicio desde ayer en el sector,ejecutar
falla de red,ejecutar
mitad de nuestra casa se encuentra sin energia,cancelar
vela caida,ejecutar
estamos con muchos bajones de energia,ejecutar
no hay luz unas casa si y otras no,cancelar
se fue la luz luego de medio dia sin razon aparente,ejecutar
variacion  de voltaje,cancelar
no hay fluido electrico en el sector,cancelar
no tenemos luz desde las 10,ejecutar
no tenemos servicio de energia en el sector,ejecutar
finca cataluna,ejecutar
por poste en mal estado sin servicio de energia,ejecutar
ver la caida,ejecutar
sin energia desde hace mas de 12 horas,cancelar
varias casas presenta disminucion y aumento de voltaje cuando cargas los electrodomesticos,cancelar
caida de velas,cancelar
sin servicio de luz,ejecutar
sector sin servicio,cancelar
canuelas caidas en el transformador en la verdad santa barbara alta,ejecutar
no hay luz y en el sector hay personas insulinodependientes,cancelar
no hay energia desde hace 2 dias en el sector,cancelar
se presentaron dos intermitencias en el servicio y ya se restablecio,ejecutar
sin energia predio con oxigeno dependiente,ejecutar
sin energia en todo el sector,ejecutar
bajon de energia,ejecutar
vela caida,ejecutar
hay mismo don arreglaron hoy se volvio a explotar algo  y se fue la luz,cancelar
predio sin energia,cancelar
hotel campestre el fuerte de rozo,cancelar
sin energia desde el dia de anoche,cancelar
empezo a tronar y ventisca,ejecutar
falla red comercial,cancelar
sin luz,cancelar
no hay energia,ejecutar
sin energia desde tempranas horas de la manana,ejecutar
caidea de cabanuelas,cancelar
se cayo la canuelas,ejecutar
sector sin energia,cancelar
desde anoche no hay luz por fuertes vientos,ejecutar
sin servicio de energia desde anoche,ejecutar
sin energia arbol caido sobre la linea,ejecutar
subiendo para primavera por los lagos de pesca urgente,ejecutar
estamos sin luz se callo una canuela,ejecutar
sin energia desde ayer,cancelar
sin energia,cancelar
intermitencia en el servicio de energia,cancelar
vela caida,ejecutar
la energia esta inconstante sube y baja cada ratico,ejecutar
no hay luz,cancelar
luz bajita desde ayer y no quiero que se me quemen los electrodomesticos,ejecutar
velas caidas,ejecutar
sin energia todo el sector,ejecutar
se dano lampara de alumbrado publico,cancelar
transformador robado,ejecutar
puedo enviar video,cancelar
no tengo energia electrica,cancelar
poco luz,cancelar
no hay servicio de energia,ejecutar
no hay luz,cancelar
sin servicio y ramas en las lineas de alta tension,ejecutar
varios predios sin energia,cancelar
sin servicio de energia electrica,ejecutar
hay unos usuarios que no tenemos servicio de energia,ejecutar
lineas de rescatadas de mt,cancelar
sin servicio de energia,cancelar
canuelas cuerdas caidas,cancelar
bajones de luz,ejecutar
se fue de repente y se escucho una explosion,ejecutar
no tenemos luz en todo el sector,ejecutar
se cayeron las velas,cancelar
energia inestable desde ayer,cancelar
bajo voltaje  de 90 voltios,cancelar
no hay servicio desde la manana,cancelar
suspension de energia toda la semana debido al desprendimiento de cableado afectando a varias viviendas del sector,cancelar
no hay servicio de energia,ejecutar
cortos,ejecutar
variacion de voltaje,cancelar
no hay luz,cancelar
no hay servicio desde hoy en la manana,ejecutar
sector sin servicio desde noche,cancelar
no hay suministro de energia,ejecutar
la luz de los bombillos aumenta y disminuye,cancelar
la luz esta intermodal,cancelar
no hay energia,ejecutar
no hay energia y hubo chispazos,ejecutar
guaduas afectando cable energia y via cerrada,ejecutar
sector sin servicio,cancelar
sin servicio,cancelar
ayer arreglaron el dano pero desde la madrugada se volvio a ir y estamos sin energia,ejecutar
ausencia de fluido electrico,ejecutar
no hay luz,cancelar
se fue la luz hace 2 horas y nada que llega en todo el sector,ejecutar
sin electricidad,ejecutar
porque la fuerte tormenta electrica y vientos que hubo el dia de ayer se revento una cuerda principal de la energia,cancelar
no hay servicio de energia,ejecutar
sin servicio,cancelar
si energia,cancelar
falla,ejecutar
sector sin energia,cancelar
lo desconozco,ejecutar
no hay servicio de luz,ejecutar
sin energia,cancelar
sin energia,cancelar
sin energia desde hace seis horas,ejecutar
sin energia,cancelar
se revento una cuerda prioridad una bebe,ejecutar
las cuerdas se reventaron y estan echando chispas en este sector,ejecutar
caida de velas,cancelar
sin energia,cancelar
no se sabe bien que dano es,ejecutar
velas caidas,ejecutar
sin servicio de energia se cayo la vela,ejecutar
es que cambiaron el contador y colocaron uno trifasico y la interna es bifasica por lo tanto la luz esta llegando muy alta y el voltaje muy bajito,cancelar
no hay energia,ejecutar
no hay energia,ejecutar
si,"Entrada inválida. Por favor, ingrese un texto coherente."
un mico dano se quemo arriba del transformador y no hay energia,ejecutar
sin energia,cancelar
sin energia,cancelar
no tenemos luz hoy la conectaron y ya se volvio a ir,ejecutar
variacion del voltaje,cancelar
desde el martes no hay energia,ejecutar
no hay lluvias y se fue el servicio electrico,cancelar
hace 3 dias sector sin energia,ejecutar
tenemos el nivel de energia muy bajo,ejecutar
sector sin servicio de energia,cancelar
sector sin servicio cerca un ancianato donde muchos de ellos tienen que usar oxigeno,ejecutar
se cayeron las canuelas,ejecutar
sector sin luz,ejecutar
baja tension de energia,ejecutar
caida de canuelas,ejecutar
caida de velas,cancelar
sector sin servicio de energia,cancelar
energia bajita,ejecutar
falla de energia,ejecutar
vela caida,ejecutar
los recibos vienen en cero hacia varios meses,cancelar
hay una linea de tension caida en la mitad de la via,ejecutar
esta baja la luz,cancelar
sin energia por partes,ejecutar
no hubo energia en la manana,cancelar
no hay luz,cancelar
el dia de ayer arreglaron el dano de energia en la vereda la soledad pero quedaron varias casas sin energia en el sector de sambruno,cancelar
canuelas,cancelar
unos gajos tumbaron las cuerdas que salen del trasformador hacia mi casa y quedaron botados en el camino por donde pasan las personas y las cuerdas quedaron energizadas creando un peligro para las personas que pasan por ese camino,ejecutar
canuela estallada,ejecutar
sin energia electrica,cancelar
sin servicio electrico por descarga electrica en la zona desde hace 30 horas,ejecutar
falla de energia en antena de telecomunicaciones,cancelar
sin energia,cancelar
sin energia desde las 4 am,cancelar
amanecimos sin servicio de luz todas las cosas,ejecutar
sector sin luz,ejecutar
hace unos 5 minutos son muy duro el transformador,ejecutar
sin servicio de energia,cancelar
sector sin servicio de energia electrica,ejecutar
sector sin servicio de energia,cancelar
sin fluido electrico el barrio,cancelar
vela caidea en el poste deoble de la cancha,ejecutar
no hay servicio de energia electrica en el sector,ejecutar
cortocircuito,cancelar
barrio jose maria melo,ejecutar
sin energia,cancelar
no hay energia en toda la vereda,cancelar
no hay servicio lineas rotas,ejecutar
sin luz,cancelar
no tenemos energia,ejecutar
se fue la energia despues de un fuerte aguacero a las cuatro de la tarde,ejecutar
no hay luz,cancelar
sin energia,cancelar
canuelas caida,cancelar
se cayeron las castanuelas,ejecutar
canuelas caidas por una tormenta de aire y estamos sin servicio,cancelar
arboles caidos en las cuerdas,cancelar
se fue la energia despues de una lluvia,ejecutar
estamos sin energia lineas estan destencionadas y cuando ventea hacen cortocircuitos,ejecutar
lineas reventadas,ejecutar
una casa sin energia y otras con luz baja,cancelar
sin servicio de energia desde hace un ahora a,ejecutar
no hay servicio de luz toda la semana,cancelar
dos cuerdas de energia pegadas,ejecutar
linea reventada,ejecutar
un transformador sono feo,ejecutar
falla de energia,ejecutar
no hay servicio,ejecutar
variacion de voltaje,cancelar
no hay energia el cable del poste esta en el suelo,cancelar
sin luz,cancelar
la semana pasada cambiaron el transformador y desde antier en la noche no tenemos luz el resto de la vereda si hay,ejecutar
ramas de guadua en cuerdas de alta tension sale humo y esta cerca de mi vivienda,ejecutar
no hay energia,ejecutar
sin servicio,cancelar
dano transformador,cancelar
cajamarca,cancelar
contiguo a la escuela o colegio san francisco sede san simon parte alta via tapias,cancelar
sin servicio por canuela caida,ejecutar
sin fluido electrico,cancelar
por corto que se presento en la lampara del poste se presenta  altibajos de energia en la casa,cancelar
5 cuerdas reventadas en dos puntos,cancelar
sector 9 dias sin servicio,cancelar
no tenemos energia,ejecutar
poste caido sobre vivienda,cancelar
fusible danado,ejecutar
cable reventado por caida de un arbol,cancelar
no hay servicio,ejecutar
sin energia,cancelar
sector sin servicio de energia,cancelar
totalmente  sin servicio,ejecutar
sin servicio de energia,cancelar
velas,cancelar
sin energia,cancelar
si servicio,cancelar
desde el 18 octubre nos encontramos sin energia todo el sector,ejecutar
sin servicio de energia en todo el sector,ejecutar
sin energia,cancelar
canuela caifa,ejecutar
se presume que son los fusibles del transformador que se saltaron,ejecutar
no hay luz,cancelar
sin luz,cancelar
intermitencia de la energia,ejecutar
sin red comercial en toda la zona,cancelar
vivienda y postes sin energia electrica,cancelar
sin energia electrica,cancelar
estamos sin energia en el predio,ejecutar
vela caida,ejecutar
sin servicio,cancelar
cuerdas unidas por ramas,cancelar
sin energia x que estaba vendiendo mucho y comenzaron a echar chispas las cuerdas de energia ,ejecutar
sector sin energia,cancelar
sin energia electrica,cancelar
se escucho una explosion  duro creo que son las canuelas o el transformador,ejecutar
no hay servicio,ejecutar
vela caida,ejecutar
sector sin energia,cancelar
no hay servicio de energia,ejecutar
estamos sin servicio de energia,ejecutar
no contamos con el servicio de energia,ejecutar
sin servicio por tormenta electrica,cancelar
canuelas caidas,ejecutar
no hay servicio de hace 4 dias,cancelar
las casas se encuentran a media fase,ejecutar
falla de red comercial,cancelar
circuito caido,ejecutar
sin energia en el sector,ejecutar
canuelas caidas,ejecutar
sin servicio,cancelar
la luz se va y vuelve,ejecutar
las canuelas no estan caidas,ejecutar
como 8 ,ejecutar
sin servicio,cancelar
no hay energia,ejecutar
velas caidas,ejecutar
no hay energia,ejecutar
sin energia,cancelar
sin servicio de energia,cancelar
se fue la energia hace 25 minutos,ejecutar
una cuerda se callo en diferentes partes y los vientos,cancelar
cazuelas caidas del transformador,ejecutar
por motivos del viento se revento una cuerda la cual tiene energia y esta en una via principal de la vereda,ejecutar
canuelas caidas y un corto con unas ramas de un arbol,ejecutar
sin servicio y ramas en las lineas de alta tension,ejecutar
sector sin servicio,cancelar
no hay energia,ejecutar
hubo una tormenta y se calleron algunos postes  y cuerdas en la carretera donde pasan estudiantes,ejecutar
variacion de voltaje,cancelar
bajas de energia,ejecutar
no hay luz hace dos dias,ejecutar
sector sin servicio,cancelar
no hay fluido electrico en la zona,ejecutar
sin energia en el sector,ejecutar
sector sin energia,cancelar
falla de energia,ejecutar
sin servicio electrico,ejecutar
al poste se le dano la retenida y esta al lado de la carretera ya para caerse,ejecutar
sector sin servicio,cancelar
canuela caida,ejecutar
torre de telecomunicaciones de movistar en sombrerillo sin servicio de energia,cancelar
sin servicio y las lineas conectan con un arbol,ejecutar
no tengo servicio de energia,ejecutar
no hay energia,ejecutar
se disparo una vela,cancelar
las cuerdas  de energia d e la  calle  se  pegaron  y provocaron  variacion de energica   en la sede,ejecutar
hay unas lineas rotas,ejecutar
sector sin energia,cancelar
sector sin servicio de energia,cancelar
2 canuelas caidas,ejecutar
sin energia,cancelar
no hay luz,cancelar
redes tocando la red y ocasionando fluctuacion,ejecutar
se fue la energia,ejecutar
no hay servicio de energia,ejecutar
una fase caida,ejecutar
no tenemos enejia,ejecutar
se inicio con una variacion del voltaje del servicio por el fuerte viento y posterior a esto no tenemos servicio desde la madrugada,cancelar
se fue la energia en el sector,cancelar
no hay energia desde ayer en la tarde,ejecutar
se cayo un arbol y se encuentran las cuerdas reventadas sobre la carretera,ejecutar
sin energia,cancelar
creo que es una vela caida,ejecutar
dano transformador,cancelar
sin servicio,cancelar
donde esta la red compacta,ejecutar
sector sin servicio,cancelar
no hay luz mas de tres horas,ejecutar
canuelas caidas,ejecutar
no hay energia,ejecutar
sin energia el sector,ejecutar
todo el sector del caserio el carare esta sin energia incluido el acueducto en pocas horas no tendremos agua,ejecutar
no hay servicio,ejecutar
no se exactamente,ejecutar
fluctuacion de voltaje,ejecutar
fallo constante de energia,ejecutar
sector sin servicio,cancelar
canuelas caidas,ejecutar
se cayo una cuerda de la luz y estamos sin energia,ejecutar
zona sin energia,cancelar
se cayo una guadua en las cuerdas y se fue la energia,ejecutar
poste a punto,ejecutar
sin cervical de energia,ejecutar
sin servicio de energia electrica,ejecutar
sin energia comercial,cancelar
explotaron las velas,cancelar
fuerte estallido en el transformador,ejecutar
ayer en la noche nos quedamos sin energia,ejecutar
ausencia de energia en la antena base,cancelar
un dano por una fuerte tormenta,ejecutar
no tiene velas,ejecutar
no hay energia,ejecutar
no hay energia,ejecutar
energia,cancelar
canuelas caidas,ejecutar
energia baja,ejecutar
sin energia por caida de canuelas,cancelar
no hay fluido electrico,ejecutar
no hay energia,ejecutar
en la parte de afuera el contador de la luz,cancelar
no lo se,ejecutar
no hay luz,cancelar
sin energia toda la zona,ejecutar
dano transformador,cancelar
no hay servicio en todo el sector de charco verde rozo,cancelar
se fue todo la energia en todo el sector,cancelar
no hay luz en el sector desde el dia viernes,cancelar
sin energia despues de una explosion ,ejecutar
no hay luz,cancelar
la luz quedo media y titiliando,ejecutar
se cayo una canuela,ejecutar
no hay energia,ejecutar
sin servicio de energia,cancelar
sero energia,cancelar
todo el sector sin energia,ejecutar
todo el sector no tiene energia,ejecutar
desde ayer no hay luz,cancelar
afectacion servicio de telecomunicaciones,ejecutar
no hay energia en todo el sector,cancelar
sin energia,cancelar
el flujo de energia sube y baja cada 2 minutos,ejecutar
ausencia de energia,cancelar
cuerda en el suelo,ejecutar
sin energia por canuelas disparadas,ejecutar
la luz muy baja y no prenden  los electrodomesticos,ejecutar
sector sin servicio,cancelar
sin embargo energia canuelas caidas en el transformador,cancelar
vereda sin energia,ejecutar
no hay electricidad,cancelar
exploto transformador,ejecutar
se va a salir del aislador,ejecutar
sin energia electrica,cancelar
no hay servicio de energia,ejecutar
al sur,cancelar
falla de red comercial en el sector cl s,ejecutar
amanecimos sin luz,ejecutar
transformador,cancelar
sin energia,cancelar
se cayeron guaduas sobre las cuerdas,ejecutar
sector sin servicio,cancelar
sin servicio de energia,cancelar
no hay energia en la casa,cancelar
no hay energia,ejecutar
no hay luz,cancelar
variacion de voltaje y se fue la luz por 10 minutos,ejecutar
la luz llega y se va esta intermitente tiene poco voltaje,cancelar
tenemos muchos bajones de energia,ejecutar
antigua finca de barrera,ejecutar
3 dias sin energia,cancelar
sin energia,cancelar
velas caidas,ejecutar
esta impidiendo  el paso,cancelar
linea reventada,ejecutar
